id_indicador;id_estado;id_curso;qt_ing_fem;qt_ing_masc;qt_mat_fem;qt_mat_masc;qt_conc_fem;qt_conc_masc
280;6;5;0;8;2;18;0;4
281;6;1;1;3;2;4;1;1
282;6;20;0;0;0;3;0;0
283;6;11;0;0;1;0;1;0
284;6;5;0;1;2;4;0;0
285;6;24;0;1;1;3;0;1
286;6;1;0;1;0;1;0;0
287;6;5;2;14;2;19;0;1
288;6;1;1;10;1;9;0;0
289;6;35;0;1;0;1;0;0
290;6;5;12;21;12;21;0;0
291;6;24;0;5;1;4;0;0
292;6;8;0;0;0;1;0;0
293;6;13;3;2;2;3;0;0
294;6;11;1;6;1;6;0;0
295;6;7;4;3;3;4;0;0
296;6;30;0;0;0;1;0;0
297;6;5;30;148;70;259;18;61
298;6;24;2;24;18;91;0;0
299;6;10;0;0;1;2;1;1
300;6;8;3;9;6;30;0;0
301;6;13;6;36;3;22;0;0
302;6;7;2;4;4;11;0;0
303;6;30;0;0;1;4;1;2
304;6;5;1;0;1;1;0;0
305;6;8;1;1;1;2;0;0
306;6;1;0;0;0;1;0;1
307;6;21;1;0;1;0;0;0
308;6;11;0;2;0;1;0;0
309;6;7;0;0;0;1;0;0
310;6;5;100;320;183;573;30;88
311;6;2;14;38;18;64;3;6
312;6;1;19;24;33;39;7;9
313;6;11;7;48;13;78;1;10
314;6;5;0;7;1;9;0;0
315;6;8;0;14;1;14;0;0
316;6;1;1;4;1;2;0;0
317;6;5;0;0;0;1;0;0
318;6;13;0;1;0;1;0;0
319;6;5;0;1;0;1;0;0
320;6;5;68;229;76;353;14;43
321;6;5;0;0;0;2;0;0
322;6;24;0;0;0;1;0;1
323;6;5;1;4;1;1;0;0
324;6;5;10;33;15;45;4;14
325;6;2;4;4;5;7;2;2
326;6;1;1;5;2;9;1;2
327;6;20;0;5;0;5;0;0
328;6;11;1;6;1;7;0;1
329;6;30;0;0;0;2;0;2
330;6;5;2;1;1;5;0;1
331;6;24;1;2;0;2;0;0
332;6;33;0;6;1;6;1;2
333;6;1;0;0;1;0;1;0
334;6;5;0;4;2;15;0;1
335;6;13;1;4;1;3;0;0
336;6;1;0;1;2;4;0;0
337;6;11;0;1;0;1;0;0
338;6;5;1;3;4;7;0;0
339;6;1;6;9;3;5;0;0
340;6;7;1;2;1;1;0;0
341;6;5;0;0;0;2;0;0
342;6;5;2;2;3;4;0;1
343;6;5;23;60;34;101;2;10
344;6;2;10;8;11;20;0;3
345;6;1;21;20;21;27;0;3
346;6;20;1;19;5;32;2;6
347;6;11;5;9;5;17;0;1
348;6;5;5;7;7;15;0;1
349;6;1;3;3;5;9;0;2
350;6;20;0;3;0;6;0;1
351;6;5;3;4;1;4;0;0
352;6;5;0;1;0;1;0;0
353;6;1;0;1;2;1;0;0
354;6;5;1;3;1;2;0;0
355;25;5;0;1;0;3;0;0
356;25;13;0;1;0;2;0;0
357;25;7;0;0;0;2;0;0
358;25;5;1;2;1;2;0;1
359;25;13;0;1;0;3;0;0
360;25;1;0;1;1;1;0;0
361;25;5;0;7;0;7;0;1
